"assessment_pattern_id","assessment_pattern_flag_type_id"
"426b7804"," 2"
"5b9e8a7d"," 2"
"7eff6762"," 2"
"7778d392"," 2"
"8a705f91"," 2"
"c8980cae","32"
"bf759155"," 2"
"4e7f295e"," 2"
"ccbf8a83"," 1"
"092a21bb"," 2"
"90a3b343"," 2"
"9a45dc50"," 2"
"14b2ae76"," 2"
"dd7b6ac6"," 2"
"68cacdb0"," 2"
"d76d815f"," 2"
"657d9ea8"," 2"
"c2cbce30"," 2"
"6b153b80"," 2"
"495aa868"," 2"
"15a6aefd","32"
"b2bdf7e0"," 2"
"6ddeb951"," 2"
"322c944e"," 2"
"41f752f8"," 2"
"f738801a"," 2"
"2b665492"," 2"
"54d89b3b","32"
"d9bdac9d"," 2"
"dfdea20c"," 2"
"838e75c2"," 2"
"7a0ef4bd"," 2"
"b8e53791"," 2"
"56d8425e"," 2"
"26b1b935","32"
"04717023","32"
"47bad331"," 2"
"8c288cf8"," 2"
"ff343202"," 2"
"4529f053"," 2"
"3b055ca9"," 2"
"3d235222"," 2"
"920a75e2"," 2"
"9477b7d0"," 2"
"50633223"," 2"
"05d6e9c8"," 2"
"a8fedf8f"," 2"
"debc7fb8"," 2"
"12806a04"," 1"
"543d3ef3"," 2"
"661ebece"," 2"
"7ecac3e2"," 2"
"6a534751"," 2"
"488564dd"," 2"
"91d0a9ec"," 2"
"1ca38e4c"," 2"
"840b0b8e"," 2"
"5cad227e"," 2"
"5832b8a0"," 2"
"69c667cd"," 2"
"8e511ea6"," 2"
"b96fbbfe"," 2"
"3097510c"," 2"
"f0df9695"," 2"
"b3383d70"," 2"
"65e979e6"," 2"
"932e5ad9"," 2"
"b2231979"," 2"
"57cd625b"," 2"
"c609594f"," 2"
"a07edef6"," 2"
"a6715d42"," 2"
"02c32b81"," 2"
"d6b6def8","32"
"e4833d50"," 2"
"c03af516"," 2"
"15ee728f"," 2"
"1e3cc61d"," 2"
"a2dcc873"," 2"
"df6dcc56","32"
"93a26479"," 2"
"020819a5"," 2"
"cc5d83e9"," 2"
"23a34ee1"," 2"
"6d524f30"," 2"
"fdf9b28f"," 2"
"1a7c1804"," 2"
"a9568650"," 2"
"5b534085"," 2"
"98c34f30"," 2"
"9624fe13"," 2"
"c75900c7"," 2"
"ec288777"," 2"
"36c585c8","32"
"6da74f37"," 2"
"1ca139e8"," 2"
"83f5892d"," 1"
"b79b938e"," 2"
"88fe34ec"," 2"
"a13a7fa0"," 2"
"1c179d77"," 2"
"93b2baf1"," 2"
"23a372ec"," 2"
"0fc1c584"," 2"
"c696b7f9"," 2"
"618d23f7"," 2"
"0ff2121e"," 2"
"162e6798"," 2"
"9bd81c6c"," 2"
"f2baaff6"," 2"
